date,1. open,2. high,3. low,4. close,5. volume
2024-09-24 20:00:00,571.3,571.3,571.3,571.3,2177568.0
2024-09-24 19:59:00,571.22,571.23,571.201,571.23,1203.0
2024-09-24 19:58:00,571.22,571.23,571.21,571.21,886.0
2024-09-24 19:57:00,571.2,571.22,571.19,571.21,2841.0
2024-09-24 19:56:00,571.2,571.21,571.19,571.2,1848.0
2024-09-24 19:55:00,571.2,571.21,571.2,571.21,2124.0
2024-09-24 19:54:00,571.2,571.22,571.2,571.2,467.0
2024-09-24 19:53:00,571.21,571.23,571.2,571.22,642.0
2024-09-24 19:52:00,571.2,571.21,571.2,571.21,417.0
2024-09-24 19:51:00,571.21,571.215,571.2,571.215,663.0
2024-09-24 19:50:00,571.229,571.23,571.2,571.2101,1069.0
2024-09-24 19:49:00,571.225,571.23,571.225,571.23,176.0
2024-09-24 19:48:00,571.225,571.25,571.22,571.25,6.0
2024-09-24 19:47:00,571.23,571.27,571.21,571.235,10177.0
2024-09-24 19:46:00,571.25,571.25,571.2115,571.2285,88.0
2024-09-24 19:45:00,571.25,571.28,571.22,571.22,513.0
2024-09-24 19:44:00,571.26,571.26,571.25,571.2588,218.0
2024-09-24 19:43:00,571.3,571.3,571.26,571.26,232.0
2024-09-24 19:42:00,571.315,571.315,571.29,571.29,104.0
2024-09-24 19:41:00,571.325,571.35,571.315,571.325,9.0
2024-09-24 19:40:00,571.32,571.34,571.29,571.34,82.0
2024-09-24 19:39:00,571.3,571.32,571.28,571.32,102.0
2024-09-24 19:38:00,571.3,571.33,571.28,571.28,69.0
2024-09-24 19:37:00,571.28,571.33,571.26,571.28,1071.0
2024-09-24 19:36:00,571.265,571.265,571.24,571.26,3.0
2024-09-24 19:35:00,571.28,571.3,571.275,571.275,1314.0
2024-09-24 19:34:00,571.26,571.285,571.26,571.285,7.0
2024-09-24 19:33:00,571.32,571.325,571.2401,571.2401,828.0
2024-09-24 19:32:00,571.34,571.35,571.33,571.33,1437.0
